name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
37000.0,35000.0,2014,0,0,10000.0,56147.0
65562.5,50000.0,2016,0,0,40000.0,87042.0
96000.0,90000.0,2019,0,0,8600.0,99399.0
50000.0,40000.0,2016,0,0,45000.0,67187.0
70714.28571428571,80000.0,2016,0,0,7200.0,95955.0
24333.333333333332,20000.0,2010,0,0,31195.0,72752.5
50142.857142857145,70000.0,2017,0,0,18000.0,74295.0
89000.0,98000.0,2019,0,0,1000.0,72752.5
75000.0,75000.0,2008,0,1,17000.0,72752.5
48888.88888888889,50000.0,2016,0,0,46000.0,67214.0
50142.857142857145,40000.0,2014,0,0,77592.0,74295.0
50142.857142857145,75000.0,2013,0,0,54000.0,74295.0
50142.857142857145,50000.0,2013,0,0,17000.0,74295.0
38914.634146341465,60000.0,2014,0,0,60000.0,72752.5
55021.28571428572,50000.0,2016,0,0,40000.0,72752.5
35944.444444444445,35000.0,2014,0,0,25000.0,72752.5
101100.0,133000.0,2018,0,0,19000.0,72752.5
32875.0,25000.0,2015,0,1,40000.0,49412.0
32272.727272727272,42000.0,2010,0,0,51000.0,72752.5
131000.0,133000.0,2019,0,0,7600.0,72752.5
37500.0,40000.0,2014,0,0,14965.0,72752.5
124000.0,130000.0,2015,0,1,25000.0,99399.0
133000.0,133000.0,2019,0,0,6000.0,72752.5
133000.0,133000.0,2019,0,0,2380.0,72752.5
133000.0,133000.0,2017,0,1,13600.0,99399.0
97142.85714285714,85000.0,2018,0,0,10000.0,72752.5
125000.0,125000.0,2010,0,1,21000.0,99399.0
25000.0,45000.0,2018,0,0,10000.0,54760.0
107600.0,85000.0,2014,0,1,18600.0,99399.0
71000.0,85000.0,2018,0,0,7750.0,72752.5
133000.0,133000.0,2019,0,0,2800.0,99399.0
101100.0,100000.0,2015,0,0,30000.0,72752.5
122111.11111111111,95000.0,2015,0,0,9800.0,72752.5
48888.88888888889,48000.0,2015,0,0,25000.0,67469.0
59500.0,40000.0,2016,0,0,29689.0,80435.0
36000.0,37000.0,2014,0,0,43000.0,58757.0
49000.0,38000.0,2014,0,1,28243.0,75502.0
58200.0,55000.0,2015,0,0,25000.0,78316.0
46111.11111111111,45000.0,2017,0,0,22300.0,72752.5
18000.0,18000.0,2009,0,1,33595.0,44140.0
133000.0,133000.0,2018,0,0,5505.0,72752.5
70000.0,70000.0,2000,0,2,5000.0,72752.5
19152.941176470587,15000.0,2007,0,0,30000.0,72752.5
65000.0,65000.0,2019,0,0,16000.0,72752.5
55666.666666666664,42000.0,2018,0,0,22000.0,57557.0
58000.0,58000.0,2012,0,0,40000.0,72752.5
133000.0,133000.0,2014,0,3,6500.0,99399.0
42500.0,35000.0,2013,0,0,15000.0,72973.0
122111.11111111111,133000.0,2018,0,0,17365.0,72752.5
40285.71428571428,28000.0,2009,0,0,40000.0,72752.5
133000.0,133000.0,2019,0,0,5500.0,72752.5
122111.11111111111,125000.0,2017,0,0,33900.0,72752.5
29136.363636363636,15000.0,2005,0,0,47670.0,72752.5
24829.956521739132,29500.0,2013,0,0,45000.0,50267.0
133000.0,133000.0,2019,0,0,5000.0,72752.5
133000.0,133000.0,2019,0,0,5700.0,72752.5
30000.0,30000.0,2012,0,0,22866.0,72752.5
119428.57142857143,110000.0,2019,0,0,10000.0,99399.0
75000.0,70000.0,2016,0,0,31000.0,72752.5
51750.0,69000.0,2019,0,0,1600.0,57112.0
35416.666666666664,30000.0,2011,0,0,44000.0,78712.0
35416.666666666664,30000.0,2010,0,0,70000.0,78712.0
42500.0,42000.0,2017,0,0,21000.0,72752.5
122111.11111111111,133000.0,2018,0,0,17365.0,72752.5
32923.07692307692,20000.0,2010,0,0,80000.0,64589.0
46111.11111111111,45000.0,2017,0,0,15000.0,72752.5
32923.07692307692,23000.0,2010,0,0,77000.0,64589.0
133000.0,133000.0,2017,0,1,40000.0,99399.0
19152.941176470587,12000.0,2005,0,0,48000.0,72752.5
49000.0,50000.0,2017,0,0,18000.0,56925.0
122111.11111111111,133000.0,2018,0,0,20000.0,72752.5
55666.666666666664,55000.0,2019,0,0,9000.0,59422.0
51750.0,45000.0,2016,0,0,56000.0,54500.0
29900.0,25000.0,2012,0,0,50000.0,72752.5
101100.0,90000.0,2014,0,0,12000.0,72752.5
126500.0,120000.0,2018,0,0,11500.0,72752.5
129800.0,120000.0,2015,0,0,20000.0,72752.5
35000.0,35000.0,2017,0,0,20000.0,66492.0
39125.0,35000.0,2017,0,0,27000.0,72752.5
133000.0,133000.0,2018,0,0,2500.0,99399.0
101100.0,87000.0,2012,0,0,20477.0,72752.5
19152.941176470587,18000.0,2010,0,0,35700.0,72752.5
65562.5,50000.0,2014,0,0,70000.0,84042.0
70714.28571428571,60000.0,2016,0,0,29000.0,95955.0
19152.941176470587,15000.0,2004,0,0,14500.0,72752.5
28888.88888888889,30000.0,2018,0,0,37000.0,72752.5
133000.0,133000.0,2018,0,0,3246.0,72752.5
50142.857142857145,50000.0,2016,0,0,27000.0,74295.0
58200.0,62000.0,2017,0,0,15000.0,78316.0
28888.88888888889,45000.0,2019,0,0,15000.0,72752.5
101100.0,120000.0,2017,0,0,4050.0,72752.5
125000.0,125000.0,2014,0,0,25000.0,99399.0
52500.0,50000.0,2015,0,0,5000.0,80821.0
38914.634146341465,30000.0,2012,0,1,5000.0,72752.5
29300.0,40000.0,2014,0,0,14000.0,51600.0
31857.14285714286,41000.0,2013,0,0,36500.0,63537.0
101100.0,120000.0,2017,0,1,9000.0,72752.5
33666.666666666664,35000.0,2014,0,0,33200.0,67722.0
10000.0,10000.0,1997,0,0,87250.0,72752.5
55021.28571428572,35000.0,2011,0,0,25000.0,72752.5
44300.0,38000.0,2017,0,0,26000.0,69750.0
50000.0,50000.0,2015,0,0,3909.0,77900.0
40466.6,40000.0,2015,0,0,7672.0,54605.0
67500.0,70000.0,2019,0,0,3000.0,55600.0
122111.11111111111,133000.0,2016,0,0,3654.0,72752.5
32875.0,26500.0,2016,0,1,40000.0,53830.0
40181.818181818184,38000.0,2016,1,0,5500.0,61600.0
35416.666666666664,60000.0,2016,0,0,29950.0,78712.0
126000.0,133000.0,2017,0,0,14000.0,72752.5
65562.5,78000.0,2017,0,0,26100.0,84480.0
44800.0,58000.0,2018,0,0,6000.0,54580.0
119428.57142857143,130000.0,2017,0,0,4000.0,99399.0
16000.0,20000.0,2001,0,0,50000.0,54852.0
133000.0,133000.0,2018,0,0,5475.0,99399.0
40700.0,32000.0,2012,0,0,40000.0,85011.0
40700.0,50000.0,2017,0,0,20500.0,85011.0
113750.0,120000.0,2017,0,0,4100.0,72752.5
59500.0,60000.0,2016,0,1,23097.0,80435.0
26000.0,20000.0,2011,0,0,37734.0,44756.0
96200.0,65000.0,2011,0,1,65000.0,72752.5
70833.33333333333,70000.0,2016,0,0,8000.0,99399.0
53750.0,35000.0,2014,0,0,13500.0,81508.0
70714.28571428571,95000.0,2018,0,0,23000.0,95955.0
38914.634146341465,8000.0,2005,0,0,58000.0,72752.5
101100.0,85000.0,2010,0,0,15000.0,72752.5
44300.0,65000.0,2016,0,0,29000.0,69750.0
36800.0,39000.0,2013,0,0,20000.0,72752.5
36000.0,45000.0,2017,0,0,35000.0,50280.0
59500.0,60000.0,2016,0,0,45137.0,80435.0
133000.0,133000.0,2018,0,0,7500.0,99399.0
38914.634146341465,35000.0,2011,0,0,35600.0,72752.5
32923.07692307692,40000.0,2018,0,0,15000.0,64589.0
39285.71428571428,40000.0,2012,0,0,7353.0,84751.0
68740.27272727272,56000.0,2017,0,1,13200.0,87543.0
32333.333333333332,22000.0,2011,0,0,38350.0,71757.0
35500.0,36000.0,2014,0,0,20400.0,54593.0
100000.0,100000.0,2018,0,0,14500.0,99399.0
50000.0,42000.0,2016,0,0,19500.0,67187.0
87166.66666666667,85000.0,2008,0,0,20000.0,72752.5
40000.0,45000.0,2014,0,0,36000.0,54586.0
